Date,Time (UTC),Exchange,Symbol,Side,Quantity,Price,Total USD,Fee (est.),Net Amount,Order ID,Mode,Notes
,,,,,,,,,,,"NOTE","Hey, if you're at this stage of the video, you must be enjoying it... perhaps you could hit subscribe now? :)"
2026-04-30,10:03:25,Binance,BTCUSDT,,,76141.06,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-30,21:33:54,Binance,BTCUSDT,,,76394.78,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-30,21:34:34,Binance,BTCUSDT,,,76421.88,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-05-01,09:28:41,Binance,BTCUSDT,,,77353.57,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-05-01,23:09:56,Binance,BTCUSDT,,,78124.80,,,,BLOCKED,BLOCKED,RANGING,0.792,"Signal: HOLD | No signal"
2026-05-01,23:09:58,Binance,DOGEUSDT,,,0.11,,,,BLOCKED,BLOCKED,TRENDING,0.554,"Signal: HOLD | No signal"
2026-05-01,23:10:01,Binance,AVAXUSDT,,,9.09,,,,BLOCKED,BLOCKED,TRENDING,0.782,"Signal: HOLD | No signal"
2026-05-01,23:32:49,Binance,BTCUSDT,,,78046.99,,,,BLOCKED,BLOCKED,RANGING,0.625,"Signal: HOLD | No signal"
2026-05-01,23:32:52,Binance,DOGEUSDT,,,0.11,,,,BLOCKED,BLOCKED,TRENDING,0.629,"Signal: HOLD | No signal"
2026-05-01,23:32:54,Binance,AVAXUSDT,,,9.06,,,,BLOCKED,BLOCKED,TRENDING,0.644,"Signal: HOLD | No signal"
2026-05-01,23:47:48,Binance,BTCUSDT,,,78144.34,,,,BLOCKED,BLOCKED,RANGING,0.644,"Signal: HOLD | No signal"
2026-05-01,23:47:50,Binance,DOGEUSDT,SELL,90.909091,0.11,10.00,0.0100,9.99,PAPER-1777679270824,PAPER,TRENDING,0.698,"All conditions met"
2026-05-01,23:47:53,Binance,AVAXUSDT,,,9.09,,,,BLOCKED,BLOCKED,TRENDING,0.634,"Signal: HOLD | No signal"
2026-05-02,00:02:50,Binance,BTCUSDT,,,78246.50,,,,BLOCKED,BLOCKED,RANGING,0.546,"Signal: HOLD | No signal"
2026-05-02,00:02:52,Binance,DOGEUSDT,,,0.11,,,,BLOCKED,BLOCKED,TRENDING,0.626,"Signal: HOLD | No signal"
